Dataset,Model,Type,All,Active,Inactive,DCF,Nov.,Cov.,Short.,Long.,DPF,mCPF,mCPF/All,delta (%)
Gowalla,NeuMF,N,0.0562,0.1061,0.0536,0.3283,3.3409,0.1463,0.9245,0.0755,0.849,0.5887,10.465,0.0
Gowalla,NeuMF,C,0.0584,0.0897,0.0568,0.2244,3.3427,0.1447,0.9242,0.0758,0.8485,0.5365,9.1779,8.87
Gowalla,NeuMF,P,0.0552,0.1049,0.0526,0.332,3.3827,0.1531,0.8868,0.1132,0.7736,0.5528,10.0182,6.09
Gowalla,NeuMF,CP,0.0582,0.0889,0.0566,0.2214,3.3823,0.1522,0.8868,0.1132,0.7736,0.4975,8.5411,15.48
