Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Short_Items,Long_Items,All_Items
Gowalla,WMF,005%,020%,N,-,-,0.03383,0.05503,0.03273,0.03469,0.05536,0.03361,0.0368,0.01989,0.03768,4.50125,4.47461,4.50264,46.17,15.73,46.01,6526.0,4774.0,11300==11300.0
Gowalla,WMF,005%,020%,C,0.0500000,-,0.03573,0.05274,0.03484,0.03664,0.05179,0.03585,0.0394,0.01767,0.04053,4.51525,4.47175,4.51752,45.67,15.64,45.5,6495.0,4805.0,11300==11300.0
Gowalla,WMF,005%,020%,P,-,0.0500000,0.03178,0.05082,0.03079,0.03274,0.05,0.03184,0.03437,0.01724,0.03526,4.64898,4.55518,4.65387,46.93,15.81,46.76,5375.0,5925.0,11300==11300.0
Gowalla,WMF,005%,020%,CP,0.0500000,0.0500000,0.03341,0.04699,0.0327,0.03389,0.04643,0.03324,0.03576,0.01631,0.03677,4.66574,4.55273,4.67163,46.26,16.06,46.09,5317.0,5983.0,11300==11300.0
