Dataset,Model,Type,All,Active,Inactive,DCF,Nov.,Cov.,Short.,Long.,DPF,mCPF,mCPF/All,delta (%)
Gowalla,VAECF,N,0.0608,0.093,0.0592,0.2227,3.8278,0.4104,0.7106,0.2894,0.4212,0.322,5.2928,0.0
Gowalla,VAECF,C,0.0996,0.0,0.1048,1.0,3.8388,0.4441,0.709,0.291,0.4181,0.709,7.1202,-120.22
Gowalla,VAECF,P,0.052,0.0979,0.0497,0.3268,4.3292,0.4483,0.2932,0.7068,-0.4136,-0.0434,-0.8343,113.49
Gowalla,VAECF,CP,0.0768,0.0354,0.0789,0.3812,4.3495,0.4777,0.2932,0.7068,-0.4136,-0.0162,-0.2114,105.04
