Dataset,Model,Type,All,Active,Inactive,DCF,Nov.,Cov.,Short.,Long.,DPF,mCPF,mCPF/All,delta (%)
MovieLens100K,PF,N,0.112,0.1509,0.11,0.1569,2.51,0.358,0.9087,0.0913,0.8174,0.4871,4.3499,0.0
MovieLens100K,PF,C,0.1248,0.1467,0.1236,0.0852,2.5197,0.3617,0.9049,0.0951,0.8098,0.4475,3.5857,8.15
MovieLens100K,PF,P,0.1048,0.154,0.1022,0.2022,2.6822,0.3907,0.7925,0.2075,0.5849,0.3936,3.7573,19.21
MovieLens100K,PF,CP,0.1112,0.148,0.1093,0.1503,2.6908,0.3951,0.79,0.21,0.5801,0.3652,3.2828,25.04
MovieLens100K,WMF,N,0.0609,0.0866,0.0595,0.1853,2.5751,0.089,0.9745,0.0255,0.9491,0.5672,9.3134,0.0
MovieLens100K,WMF,C,0.0637,0.0661,0.0636,0.0192,2.5858,0.089,0.9727,0.0273,0.9455,0.4823,7.5674,14.96
MovieLens100K,WMF,P,0.0594,0.0846,0.0581,0.1856,2.5966,0.0897,0.9583,0.0417,0.9166,0.5511,9.2721,2.83
MovieLens100K,WMF,CP,0.0624,0.0681,0.0622,0.0456,2.6049,0.0897,0.9585,0.0415,0.9171,0.4813,7.7076,15.14
MovieLens100K,NeuMF,N,0.1111,0.1734,0.1078,0.2333,2.224,0.1512,0.9914,0.0086,0.9828,0.608,5.4739,0.0
MovieLens100K,NeuMF,C,0.1192,0.1186,0.1193,0.0027,2.2317,0.152,0.9914,0.0086,0.9828,0.4928,4.1321,18.96
MovieLens100K,NeuMF,P,0.1106,0.1737,0.1072,0.2367,2.2389,0.1594,0.9792,0.0208,0.9584,0.5976,5.4044,1.72
MovieLens100K,NeuMF,CP,0.1184,0.1192,0.1184,0.0032,2.2474,0.1594,0.978,0.022,0.9561,0.4797,4.0496,21.11
MovieLens100K,VAECF,N,0.1123,0.1534,0.1102,0.1642,2.3173,0.2209,0.9702,0.0298,0.9404,0.5523,4.9178,0.0
MovieLens100K,VAECF,C,0.2042,0.0,0.2149,1.0,2.362,0.2357,0.9552,0.0448,0.9105,0.9552,4.6789,-72.95
MovieLens100K,VAECF,P,0.0972,0.1392,0.0949,0.1891,2.5721,0.2446,0.7187,0.2813,0.4373,0.3132,3.2239,43.29
MovieLens100K,VAECF,CP,0.1727,0.019,0.1808,0.8097,2.5992,0.2528,0.7187,0.2813,0.4373,0.6235,3.6092,-12.89
