Dataset,Model,Type,All,Active,Inactive,DCF,Nov.,Cov.,Short.,Long.,DPF,mCPF,mCPF/All,delta (%)
Foursquare,PF,N,0.0223,0.0127,0.0228,0.2841,5.1479,0.5688,0.8017,0.1983,0.6033,0.4437,19.8609,0.0
Foursquare,PF,C,0.025,0.0091,0.0259,0.4798,5.2079,0.5804,0.7966,0.2034,0.5932,0.5365,21.4528,-20.92
Foursquare,PF,P,0.0188,0.0136,0.0191,0.1673,5.8815,0.6386,0.3959,0.6041,-0.2083,-0.0205,-1.0885,104.62
Foursquare,PF,CP,0.0204,0.0123,0.0209,0.2603,5.9017,0.653,0.3975,0.6025,-0.205,0.0277,1.3535,93.76
Foursquare,WMF,N,0.0175,0.027,0.017,0.2279,5.6952,0.7118,0.6203,0.3797,0.2406,0.2342,13.4086,0.0
Foursquare,WMF,C,0.0178,0.0262,0.0173,0.2032,5.7074,0.7029,0.6188,0.3812,0.2375,0.2204,12.3937,5.93
Foursquare,WMF,P,0.017,0.0234,0.0167,0.1684,5.8291,0.7344,0.5376,0.4624,0.0753,0.1218,7.1613,48.0
Foursquare,WMF,CP,0.0177,0.0232,0.0174,0.1429,5.8384,0.7269,0.5373,0.4627,0.0746,0.1087,6.1364,53.58
Foursquare,NeuMF,N,0.031,0.0454,0.0302,0.2009,3.7138,0.0527,0.9995,0.0005,0.999,0.5999,19.3716,0.0
Foursquare,NeuMF,C,0.0323,0.0459,0.0316,0.1853,3.7173,0.0513,0.9996,0.0004,0.9992,0.5923,18.3532,1.28
Foursquare,NeuMF,P,0.031,0.0454,0.0302,0.2014,3.714,0.0534,0.9994,0.0006,0.9989,0.6001,19.3781,-0.03
Foursquare,NeuMF,CP,0.0323,0.0459,0.0316,0.1851,3.7176,0.052,0.9995,0.0005,0.999,0.5921,18.3412,1.31
Foursquare,VAECF,N,0.0391,0.0419,0.039,0.0358,4.3863,0.2498,0.8867,0.1133,0.7735,0.4046,10.3455,0.0
Foursquare,VAECF,C,0.043,0.0037,0.0451,0.8495,4.4448,0.2628,0.8828,0.1172,0.7657,0.8076,18.7769,-99.6
Foursquare,VAECF,P,0.0329,0.0311,0.033,0.0297,4.7699,0.2669,0.6368,0.3632,0.2736,0.1516,4.6102,62.52
Foursquare,VAECF,CP,0.0378,0.0134,0.0391,0.4891,4.8207,0.2752,0.6368,0.3632,0.2736,0.3814,10.0971,5.75
