Dataset,Model,Type,All,Active,Inactive,DCF,Nov.,Cov.,Short.,Long.,DPF,mCPF,mCPF/All,delta (%)
LastFM,PF,N,0.0372,0.0259,0.0378,0.1868,5.0905,0.6682,0.6945,0.3055,0.389,0.2879,7.7432,0.0
LastFM,PF,C,0.0373,0.026,0.0379,0.1872,5.0904,0.6689,0.6947,0.3053,0.3894,0.2883,7.729,-0.14
LastFM,PF,P,0.0369,0.025,0.0375,0.2003,5.1208,0.6729,0.6792,0.3208,0.3585,0.2794,7.5698,2.95
LastFM,PF,CP,0.0372,0.0251,0.0378,0.202,5.1236,0.6729,0.6784,0.3216,0.3567,0.2794,7.5099,2.96
LastFM,WMF,N,0.0319,0.0498,0.0309,0.2334,5.5358,0.7804,0.4452,0.5548,-0.1096,0.0619,1.9406,0.0
LastFM,WMF,C,0.0334,0.0425,0.0329,0.1275,5.5523,0.7717,0.4406,0.5594,-0.1188,0.0044,0.1313,92.92
LastFM,WMF,P,0.029,0.0454,0.0282,0.2342,5.7962,0.793,0.3313,0.6687,-0.3375,-0.0516,-1.7776,183.44
LastFM,WMF,CP,0.0299,0.0422,0.0292,0.1817,5.8065,0.7877,0.3278,0.6722,-0.3445,-0.0814,-2.7238,231.51
LastFM,NeuMF,N,0.041,0.0514,0.0405,0.119,3.8526,0.1022,0.9879,0.0121,0.9758,0.5474,13.339,0.0
LastFM,NeuMF,C,0.0424,0.0494,0.0421,0.0795,3.8488,0.1022,0.9884,0.0116,0.9769,0.5282,12.4425,3.52
LastFM,NeuMF,P,0.0408,0.0521,0.0402,0.1297,3.8659,0.1015,0.9694,0.0306,0.9389,0.5343,13.1049,2.4
LastFM,NeuMF,CP,0.0422,0.0487,0.0418,0.076,3.8621,0.1022,0.971,0.029,0.9419,0.509,12.0722,7.03
LastFM,VAECF,N,0.0555,0.0772,0.0544,0.1737,4.616,0.428,0.779,0.221,0.558,0.3659,6.5914,0.0
LastFM,VAECF,C,0.0729,0.0014,0.0767,0.9636,4.5944,0.4353,0.783,0.217,0.5661,0.7648,10.4917,-109.04
LastFM,VAECF,P,0.051,0.0669,0.0501,0.1432,5.1856,0.4605,0.3776,0.6224,-0.2447,-0.0508,-0.9965,113.88
LastFM,VAECF,CP,0.0627,0.0178,0.0651,0.5698,5.1717,0.4618,0.3776,0.6224,-0.2447,0.1625,2.591,55.59
