Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Short_Items,Long_Items,All_Items
Gowalla,PF,005%,020%,N,-,-,0.05921,0.06854,0.05873,0.05584,0.06964,0.05512,0.05677,0.02379,0.05849,4.05869,4.10811,4.05612,60.98,25.32,58.7,7939.0,3361.0,11300==11300.0
Gowalla,PF,005%,020%,C,0.0500000,-,0.06621,0.06173,0.06644,0.06204,0.0625,0.06201,0.06507,0.02092,0.06737,4.07015,4.08175,4.06955,61.4,25.06,59.21,7922.0,3378.0,11300==11300.0
Gowalla,PF,005%,020%,P,-,0.0500000,0.05702,0.06884,0.0564,0.05425,0.06786,0.05354,0.05431,0.02247,0.05597,4.33478,4.18277,4.3427,64.68,26.16,63.08,5598.0,5702.0,11300==11300.0
Gowalla,PF,005%,020%,CP,0.0500000,0.0500000,0.0618,0.0585,0.06197,0.05894,0.05714,0.05903,0.05999,0.01763,0.0622,4.35595,4.17076,4.3656,65.1,26.24,63.75,5514.0,5786.0,11300==11300.0
