Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Short_Items,Long_Items,All_Items
Epinion,VAECF,005%,020%,N,-,-,0.04448,0.08014,0.0426,0.04139,0.0791,0.0394,0.05996,0.03395,0.06133,4.40595,4.60963,4.3952,31.07,16.8,30.34,24601.0,2169.0,26770==26770.0
Epinion,VAECF,005%,020%,C,0.0500000,-,0.05018,0.00352,0.05265,0.04521,0.00299,0.04744,0.06965,0.00164,0.07324,4.46533,4.6706,4.4545,32.33,18.74,31.41,24433.0,2337.0,26770==26770.0
Epinion,VAECF,005%,020%,P,-,0.0500000,0.03749,0.08123,0.03518,0.03439,0.07687,0.03215,0.04963,0.03127,0.0506,4.92451,5.13209,4.91355,35.53,20.05,34.76,15542.0,11228.0,26770==26770.0
Epinion,VAECF,005%,020%,CP,0.0500000,0.0500000,0.04178,0.01784,0.04304,0.03728,0.0209,0.03814,0.0568,0.00844,0.05935,4.95481,5.15598,4.94419,36.17,20.87,35.39,15542.0,11228.0,26770==26770.0
