Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Short_Items,Long_Items,All_Items
Gowalla,NeuMF,005%,020%,N,-,-,0.05625,0.10609,0.05365,0.05283,0.1,0.05037,0.05358,0.03346,0.05463,3.34088,3.38382,3.33864,14.63,9.42,14.3,10447.0,853.0,11300==11300.0
Gowalla,NeuMF,005%,020%,C,0.0500000,-,0.05845,0.0897,0.05682,0.05469,0.0875,0.05298,0.05611,0.02982,0.05748,3.34266,3.39334,3.34002,14.47,9.59,14.21,10444.0,856.0,11300==11300.0
Gowalla,NeuMF,005%,020%,P,-,0.0500000,0.05518,0.10486,0.05259,0.05186,0.1,0.04935,0.05148,0.03357,0.05242,3.38274,3.40767,3.38144,15.31,9.59,14.97,10021.0,1279.0,11300==11300.0
Gowalla,NeuMF,005%,020%,CP,0.0500000,0.0500000,0.05825,0.08887,0.05665,0.0546,0.0875,0.05289,0.05462,0.02936,0.05594,3.38233,3.41244,3.38076,15.22,9.5,14.89,10021.0,1279.0,11300==11300.0
