Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Short_Items,Long_Items,All_Items
Gowalla,PF,005%,020%,N,-,-,0.05921,0.06854,0.05873,0.05584,0.06964,0.05512,0.05677,0.02379,0.05849,4.05869,4.10811,4.05612,60.98,25.32,58.7,7939.0,3361.0,11300==11300.0
Gowalla,PF,005%,020%,C,0.0030000,-,0.05959,0.06854,0.05913,0.05628,0.06964,0.05559,0.05749,0.02379,0.05924,4.05923,4.10519,4.05683,60.98,25.32,58.79,7941.0,3359.0,11300==11300.0
Gowalla,PF,005%,020%,C,0.0005000,-,0.05937,0.06854,0.05889,0.05593,0.06964,0.05521,0.05686,0.02379,0.05858,4.05822,4.10811,4.05562,60.98,25.32,58.7,7939.0,3361.0,11300==11300.0
Gowalla,PF,005%,020%,C,0.0001000,-,0.05921,0.06854,0.05873,0.05584,0.06964,0.05512,0.05677,0.02379,0.05849,4.05866,4.10811,4.05609,60.98,25.32,58.7,7938.0,3362.0,11300==11300.0
Gowalla,PF,005%,020%,C,0.0000500,-,0.05921,0.06854,0.05873,0.05584,0.06964,0.05512,0.05677,0.02379,0.05849,4.05866,4.10811,4.05609,60.98,25.32,58.7,7938.0,3362.0,11300==11300.0
Gowalla,PF,005%,020%,C,0.0000050,-,0.05921,0.06854,0.05873,0.05584,0.06964,0.05512,0.05677,0.02379,0.05849,4.05866,4.10811,4.05609,60.98,25.32,58.7,7938.0,3362.0,11300==11300.0
