Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Short_Items,Long_Items,All_Items
Gowalla,WMF,005%,020%,N,-,-,0.03383,0.05503,0.03273,0.03469,0.05536,0.03361,0.0368,0.01989,0.03768,4.50125,4.47461,4.50264,46.17,15.73,46.01,6526.0,4774.0,11300==11300.0
Gowalla,WMF,005%,020%,C,0.0030000,-,0.03377,0.05249,0.03279,0.0346,0.05179,0.03371,0.03673,0.01767,0.03773,4.50271,4.48347,4.50371,46.17,15.64,46.01,6523.0,4777.0,11300==11300.0
Gowalla,WMF,005%,020%,C,0.0005000,-,0.03377,0.05374,0.03273,0.0346,0.05357,0.03361,0.03671,0.01811,0.03768,4.50159,4.48145,4.50264,46.17,15.64,46.01,6525.0,4775.0,11300==11300.0
Gowalla,WMF,005%,020%,C,0.0001000,-,0.03383,0.05503,0.03273,0.03469,0.05536,0.03361,0.0368,0.01989,0.03768,4.50125,4.47461,4.50264,46.17,15.73,46.01,6526.0,4774.0,11300==11300.0
Gowalla,WMF,005%,020%,C,0.0000500,-,0.03383,0.05503,0.03273,0.03469,0.05536,0.03361,0.0368,0.01989,0.03768,4.50125,4.47461,4.50264,46.17,15.73,46.01,6526.0,4774.0,11300==11300.0
Gowalla,WMF,005%,020%,C,0.0000050,-,0.03383,0.05503,0.03273,0.03469,0.05536,0.03361,0.0368,0.01989,0.03768,4.50125,4.47461,4.50264,46.17,15.73,46.01,6526.0,4774.0,11300==11300.0
