Dataset,Model,Type,All,Active,Inactive,DCF,Nov.,Cov.,Short.,Long.,DPF,mCPF,mCPF/All,delta (%)
AmazonToy,PF,N,0.0116,0.0336,0.0104,0.5286,6.4705,0.2591,0.7645,0.2355,0.529,0.5288,45.3935,0.0
AmazonToy,PF,C,0.0118,0.0336,0.0105,0.5241,6.4716,0.2643,0.7643,0.2357,0.5287,0.5264,44.6858,0.46
AmazonToy,PF,P,0.0089,0.0282,0.0078,0.5667,7.2328,0.3514,0.0409,0.9591,-0.9182,-0.1757,-19.7203,133.23
AmazonToy,PF,CP,0.009,0.0282,0.0079,0.5637,7.2338,0.3601,0.0408,0.9592,-0.9183,-0.1773,-19.7463,133.53
AmazonToy,WMF,N,0.0063,0.0195,0.0055,0.558,6.9853,0.8713,0.5434,0.4566,0.0867,0.3224,51.0908,0.0
AmazonToy,WMF,C,0.0064,0.0195,0.0057,0.55,6.9839,0.8632,0.5471,0.4529,0.0942,0.3221,50.0928,0.09
AmazonToy,WMF,P,0.0055,0.0192,0.0047,0.6053,7.3864,0.8442,0.0796,0.9204,-0.8407,-0.1177,-21.2837,136.51
AmazonToy,WMF,CP,0.0058,0.0192,0.005,0.5888,7.3849,0.835,0.0796,0.9204,-0.8407,-0.126,-21.8722,139.08
AmazonToy,NeuMF,N,0.0086,0.0342,0.0072,0.6544,5.3509,0.0104,1.0,0.0,1.0,0.8272,95.742,0.0
AmazonToy,NeuMF,C,0.0087,0.0342,0.0072,0.6528,5.3519,0.0104,1.0,0.0,1.0,0.8264,95.2088,0.1
AmazonToy,NeuMF,P,0.0086,0.0342,0.0072,0.6544,5.3509,0.0104,1.0,0.0,1.0,0.8272,95.742,0.0
AmazonToy,NeuMF,CP,0.0087,0.0342,0.0072,0.6528,5.3519,0.0104,1.0,0.0,1.0,0.8264,95.2088,0.1
AmazonToy,BiVAECF,N,0.0106,0.039,0.0089,0.6272,5.6967,0.0242,0.9962,0.0038,0.9924,0.8098,76.5391,0.0
AmazonToy,BiVAECF,C,0.011,0.039,0.0094,0.6124,5.7089,0.0277,0.9953,0.0047,0.9906,0.8015,72.864,1.02
AmazonToy,BiVAECF,P,0.01,0.0383,0.0083,0.6424,5.9644,0.0265,0.6493,0.3507,0.2986,0.4705,47.1435,41.9
AmazonToy,BiVAECF,CP,0.0103,0.0383,0.0087,0.6301,5.9723,0.03,0.6493,0.3507,0.2986,0.4644,44.9977,42.65
