Dataset,Model,Type,All,Active,Inactive,DCF,Nov.,Cov.,Short.,Long.,DPF,mCPF,mCPF/All,delta (%)
Foursquare,PF,N,0.0312,0.0182,0.0319,0.2731,4.4576,0.2478,0.9392,0.0608,0.8783,0.5757,18.429,0.0
Foursquare,PF,C,0.0316,0.0182,0.0323,0.2787,4.4705,0.2491,0.9385,0.0615,0.8769,0.5778,18.2798,-0.37
Foursquare,PF,P,0.0246,0.0162,0.025,0.2127,5.5712,0.3628,0.378,0.622,-0.244,-0.0156,-0.6371,102.72
Foursquare,PF,CP,0.0253,0.0162,0.0258,0.2271,5.5827,0.3662,0.376,0.624,-0.2481,-0.0105,-0.4141,101.82
Foursquare,WMF,N,0.0148,0.0138,0.0148,0.0345,5.5612,0.6701,0.6706,0.3294,0.3412,0.1879,12.7108,0.0
Foursquare,WMF,C,0.015,0.0138,0.015,0.0416,5.5778,0.6516,0.6698,0.3302,0.3395,0.1905,12.72,-1.43
Foursquare,WMF,P,0.0084,0.008,0.0084,0.0263,6.6986,0.7283,0.0309,0.9691,-0.9383,-0.456,-54.4151,342.73
Foursquare,WMF,CP,0.0088,0.008,0.0088,0.0512,6.7065,0.7112,0.0274,0.9726,-0.9453,-0.447,-50.8584,337.96
Foursquare,NeuMF,N,0.0555,0.0669,0.0549,0.0987,2.8281,0.0123,1.0,0.0,1.0,0.5493,9.905,0.0
Foursquare,NeuMF,C,0.0561,0.0669,0.0555,0.093,2.8293,0.0137,1.0,0.0,1.0,0.5465,9.7468,0.51
Foursquare,NeuMF,P,0.0555,0.0669,0.0549,0.0987,2.8427,0.0171,0.9951,0.0049,0.9902,0.5444,9.8164,0.89
Foursquare,NeuMF,CP,0.056,0.0669,0.0554,0.0936,2.8434,0.0185,0.9951,0.0049,0.9902,0.5419,9.6769,1.35
Foursquare,BiVAECF,N,0.0598,0.0653,0.0595,0.0463,3.0887,0.0281,0.9915,0.0085,0.983,0.5147,8.6036,0.0
Foursquare,BiVAECF,C,0.0626,0.0653,0.0625,0.022,3.0987,0.0349,0.9921,0.0079,0.9842,0.5031,8.0301,2.25
Foursquare,BiVAECF,P,0.0576,0.0564,0.0576,0.0108,3.3819,0.0376,0.856,0.144,0.712,0.3614,6.2785,29.78
Foursquare,BiVAECF,CP,0.06,0.0564,0.0602,0.0329,3.3967,0.0431,0.856,0.144,0.712,0.3725,6.2035,27.63
