Dataset,Model,Type,All,Active,Inactive,DCF,Nov.,Cov.,Short.,Long.,DPF,mCPF,mCPF/All,delta (%)
Gowalla,WMF,N,0.0338,0.055,0.0327,0.2541,4.5012,0.4617,0.5775,0.4225,0.155,0.2046,6.0471,0.0
Gowalla,WMF,C,0.0357,0.0527,0.0348,0.2044,4.5152,0.4567,0.5748,0.4252,0.1496,0.177,4.953,13.49
Gowalla,WMF,P,0.0318,0.0508,0.0308,0.2454,4.6489,0.4693,0.4757,0.5243,-0.0487,0.0984,3.0957,51.91
Gowalla,WMF,CP,0.0334,0.047,0.0327,0.1793,4.6657,0.4626,0.4705,0.5295,-0.0589,0.0602,1.8016,70.58
