Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Short_Items,Long_Items,All_Items
Epinion,WMF,005%,020%,N,-,-,0.02349,0.05768,0.02169,0.02253,0.05448,0.02084,0.0317,0.02368,0.03212,4.94836,4.86189,4.95292,29.13,10.83,29.13,25225.0,1545.0,26770==26770.0
Epinion,WMF,005%,020%,C,0.0500000,-,0.02358,0.05647,0.02185,0.02257,0.05299,0.02096,0.03183,0.02297,0.03229,4.94813,4.86496,4.95253,28.98,10.92,28.98,25225.0,1545.0,26770==26770.0
Epinion,WMF,005%,020%,P,-,0.0500000,0.02336,0.05768,0.02155,0.02238,0.05448,0.02069,0.0315,0.02368,0.03191,4.96266,4.86926,4.96759,30.19,10.87,30.19,24954.0,1816.0,26770==26770.0
Epinion,WMF,005%,020%,CP,0.0500000,0.0500000,0.02344,0.05647,0.02169,0.02246,0.05299,0.02084,0.03166,0.02297,0.03212,4.96233,4.86856,4.96728,30.1,10.92,30.1,24954.0,1816.0,26770==26770.0
