Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Short_Items,Long_Items,All_Items
Epinion,PF,005%,020%,N,-,-,0.03208,0.07514,0.0298,0.03125,0.0791,0.02872,0.04449,0.03043,0.04523,4.9602,4.95284,4.96059,50.73,21.26,50.34,22169.0,4601.0,26770==26770.0
Epinion,PF,005%,020%,C,0.0500000,-,0.03371,0.07317,0.03163,0.03267,0.07687,0.03034,0.04685,0.02916,0.04779,4.97538,4.94442,4.97701,50.83,21.31,50.53,22066.0,4704.0,26770==26770.0
Epinion,PF,005%,020%,P,-,0.0500000,0.0304,0.0757,0.02801,0.02844,0.07985,0.02573,0.0396,0.03065,0.04007,5.31722,5.02822,5.33248,53.25,22.72,52.96,16472.0,10298.0,26770==26770.0
Epinion,PF,005%,020%,CP,0.0500000,0.0500000,0.03128,0.07404,0.02902,0.0293,0.07761,0.02675,0.04117,0.02938,0.04179,5.3302,5.0305,5.34602,53.45,22.67,53.11,16364.0,10406.0,26770==26770.0
