Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Short_Items,Long_Items,All_Items
Gowalla,VAECF,005%,020%,N,-,-,0.06519,0.10397,0.06316,0.06248,0.09821,0.06061,0.06725,0.03326,0.06902,3.82172,3.71668,3.8272,40.79,18.5,40.29,8026.0,3274.0,11300==11300.0
Gowalla,VAECF,005%,020%,C,0.0500000,-,0.10159,0.0,0.10689,0.09274,0.0,0.09758,0.09974,0.0,0.10494,3.82831,3.65684,3.83725,43.23,19.51,42.81,8050.0,3250.0,11300==11300.0
Gowalla,VAECF,005%,020%,P,-,0.0500000,0.05693,0.11472,0.05391,0.05478,0.10714,0.05205,0.05601,0.03548,0.05708,4.31846,4.18594,4.32537,44.07,20.61,43.73,3299.0,8001.0,11300==11300.0
Gowalla,VAECF,005%,020%,CP,0.0500000,0.0500000,0.07962,0.03771,0.0818,0.0731,0.04464,0.07458,0.07533,0.01523,0.07847,4.33632,4.12363,4.34741,45.84,20.35,45.67,3299.0,8001.0,11300==11300.0
