Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Short_Items,Long_Items,All_Items
Epinion,VAECF,005%,020%,N,-,-,0.04466,0.07693,0.04295,0.04132,0.07836,0.03936,0.05994,0.03151,0.06144,4.38111,4.56419,4.37145,28.74,16.6,28.2,24699.0,2071.0,26770==26770.0
Epinion,VAECF,005%,020%,C,0.0500000,-,0.05035,0.00247,0.05288,0.04517,0.00299,0.0474,0.07008,0.00132,0.07371,4.44072,4.63395,4.43052,30.15,17.43,29.61,24518.0,2252.0,26770==26770.0
Epinion,VAECF,005%,020%,P,-,0.0500000,0.03753,0.07121,0.03575,0.03428,0.07015,0.03239,0.0492,0.02924,0.05026,4.90331,5.02553,4.89685,31.75,19.66,31.26,15678.0,11092.0,26770==26770.0
Epinion,VAECF,005%,020%,CP,0.0500000,0.0500000,0.04157,0.01623,0.0429,0.03705,0.01791,0.03806,0.05591,0.00792,0.05844,4.93136,5.04858,4.92517,32.28,19.71,31.75,15678.0,11092.0,26770==26770.0
