Dataset,Model,Type,All,Active,Inactive,DCF,Nov.,Cov.,Short.,Long.,DPF,mCPF,mCPF/All,delta (%)
Gowalla,PF,N,0.0596,0.0666,0.0592,0.059,4.0587,0.6098,0.7026,0.2974,0.4051,0.232,3.8947,0.0
Gowalla,PF,C,0.0552,0.0666,0.0546,0.0994,4.0198,0.6039,0.7141,0.2859,0.4281,0.2638,4.7803,-13.67
Gowalla,PF,P,0.0578,0.0669,0.0573,0.0775,4.3348,0.6468,0.4954,0.5046,-0.0092,0.0341,0.5907,85.29
Gowalla,PF,CP,0.0561,0.0681,0.0554,0.1027,4.3246,0.6451,0.4986,0.5014,-0.0028,0.0499,0.8908,78.48
Gowalla,WMF,N,0.0331,0.056,0.0319,0.2741,4.5012,0.4617,0.5775,0.4225,0.155,0.2146,6.4824,0.0
Gowalla,WMF,C,0.0323,0.056,0.031,0.2865,4.4962,0.4626,0.5799,0.4201,0.1598,0.2232,6.9117,-4.01
Gowalla,WMF,P,0.0313,0.0531,0.0302,0.275,4.649,0.4693,0.4757,0.5243,-0.0487,0.1131,3.6124,47.27
Gowalla,WMF,CP,0.0306,0.0543,0.0294,0.2975,4.6466,0.4727,0.4765,0.5235,-0.0471,0.1252,4.0875,41.65
Gowalla,NeuMF,N,0.0597,0.1017,0.0575,0.2777,3.389,0.1657,0.9196,0.0804,0.8393,0.5585,9.3598,0.0
Gowalla,NeuMF,C,0.0572,0.1017,0.0549,0.2989,3.3832,0.164,0.9203,0.0797,0.8405,0.5697,9.9603,-2.01
Gowalla,NeuMF,P,0.0583,0.1029,0.056,0.2949,3.4371,0.1741,0.8781,0.1219,0.7561,0.5255,9.0095,5.9
Gowalla,NeuMF,CP,0.057,0.1029,0.0546,0.3069,3.4326,0.1741,0.8797,0.1203,0.7595,0.5332,9.362,4.54
Gowalla,VAECF,N,0.0616,0.0959,0.0598,0.2319,3.8278,0.4104,0.7106,0.2894,0.4212,0.3266,5.2995,0.0
Gowalla,VAECF,C,0.0144,0.1986,0.0048,0.9528,3.5902,0.4155,0.752,0.248,0.5041,0.7284,50.5507,-123.07
Gowalla,VAECF,P,0.0517,0.0984,0.0493,0.3327,4.3292,0.4483,0.2932,0.7068,-0.4136,-0.0404,-0.7822,112.38
Gowalla,VAECF,CP,0.0264,0.1543,0.0197,0.7738,4.2133,0.4458,0.2932,0.7068,-0.4136,0.1801,6.834,44.86
