Dataset,Model,Type,All,Active,Inactive,DCF,Nov.,Cov.,Short.,Long.,DPF,mCPF,mCPF/All,delta (%)
BookCrossing,PF,N,0.0109,0.0216,0.0103,0.3551,5.8712,0.894,0.5157,0.4843,0.0313,0.1932,17.741,0.0
BookCrossing,PF,C,0.0104,0.0218,0.0098,0.3829,5.8637,0.896,0.5198,0.4802,0.0396,0.2113,20.3332,-9.35
BookCrossing,PF,P,0.0113,0.0201,0.0108,0.3005,6.0436,0.9107,0.3911,0.6089,-0.2178,0.0414,3.666,78.6
BookCrossing,PF,CP,0.0112,0.0201,0.0107,0.3043,6.0422,0.9107,0.392,0.608,-0.216,0.0441,3.9442,77.16
BookCrossing,WMF,N,0.0061,0.0147,0.0056,0.4497,6.6007,0.9715,0.1732,0.8268,-0.6535,-0.1019,-16.8166,-0.0
BookCrossing,WMF,C,0.0059,0.0147,0.0054,0.4605,6.593,0.9745,0.1761,0.8239,-0.6477,-0.0936,-15.8112,8.15
BookCrossing,WMF,P,0.0061,0.0133,0.0057,0.3973,6.7051,0.9676,0.1023,0.8977,-0.7954,-0.1991,-32.5296,-95.35
BookCrossing,WMF,CP,0.0058,0.0147,0.0053,0.4678,6.7039,0.9725,0.1019,0.8981,-0.7961,-0.1642,-28.2069,-61.09
BookCrossing,NeuMF,N,0.016,0.0416,0.0146,0.4806,4.5054,0.0363,1.0,0.0,1.0,0.7403,46.183,0.0
BookCrossing,NeuMF,C,0.0161,0.0422,0.0147,0.4838,4.5073,0.0383,1.0,0.0,1.0,0.7419,45.9677,-0.22
BookCrossing,NeuMF,P,0.016,0.0416,0.0146,0.4806,4.5054,0.0363,1.0,0.0,1.0,0.7403,46.183,0.0
BookCrossing,NeuMF,CP,0.0161,0.0422,0.0147,0.4838,4.5073,0.0383,1.0,0.0,1.0,0.7419,45.9677,-0.22
BookCrossing,VAECF,N,0.0193,0.0504,0.0176,0.4832,5.1336,0.4102,0.8377,0.1623,0.6754,0.5793,30.0152,0.0
BookCrossing,VAECF,C,0.0121,0.0665,0.0091,0.759,5.1597,0.4141,0.8299,0.1701,0.6599,0.7094,58.484,-22.46
BookCrossing,VAECF,P,0.0178,0.0535,0.0158,0.5439,5.5188,0.4298,0.504,0.496,0.0081,0.276,15.5156,52.35
BookCrossing,VAECF,CP,0.013,0.063,0.0102,0.7204,5.5266,0.4298,0.504,0.496,0.0081,0.3643,27.978,37.12
