Dataset,Model,Type,All,Active,Inactive,DCF,Nov.,Cov.,Short.,Long.,DPF,mCPF,mCPF/All,delta (%)
AmazonOffice,PF,N,0.0095,0.0288,0.0084,0.5485,6.1434,0.7103,0.6973,0.3027,0.3945,0.4715,49.4744,0.0
AmazonOffice,PF,C,0.0093,0.0288,0.0082,0.5568,6.125,0.7066,0.7018,0.2982,0.4036,0.4802,51.4138,-1.85
AmazonOffice,PF,P,0.0091,0.0301,0.0079,0.5835,6.5213,0.7386,0.4461,0.5539,-0.1078,0.2378,26.0472,49.56
AmazonOffice,PF,CP,0.009,0.0301,0.0078,0.5893,6.5156,0.7392,0.4474,0.5526,-0.1051,0.2421,26.8987,48.65
AmazonOffice,WMF,N,0.0076,0.0308,0.0063,0.6622,6.4316,0.8934,0.6773,0.3227,0.3546,0.5084,66.8032,0.0
AmazonOffice,WMF,C,0.0073,0.0312,0.0059,0.6805,6.4365,0.8953,0.6752,0.3248,0.3503,0.5154,70.4114,-1.38
AmazonOffice,WMF,P,0.0075,0.0283,0.0063,0.6352,6.5205,0.9053,0.5995,0.4005,0.199,0.4171,55.3937,17.95
AmazonOffice,WMF,CP,0.0073,0.0294,0.006,0.662,6.526,0.906,0.5975,0.4025,0.195,0.4285,58.8585,15.71
AmazonOffice,NeuMF,N,0.015,0.0477,0.0131,0.5698,4.7135,0.0445,1.0,0.0,1.0,0.7849,52.3618,0.0
AmazonOffice,NeuMF,C,0.0147,0.0506,0.0126,0.6013,4.7133,0.0445,1.0,0.0,1.0,0.8006,54.5391,-2.0
AmazonOffice,NeuMF,P,0.015,0.0477,0.0131,0.5698,4.7135,0.0445,1.0,0.0,1.0,0.7849,52.3618,0.0
AmazonOffice,NeuMF,CP,0.0147,0.0506,0.0126,0.6013,4.7133,0.0445,1.0,0.0,1.0,0.8006,54.5391,-2.0
AmazonOffice,VAECF,N,0.0179,0.0534,0.0159,0.5421,5.5853,0.2207,0.7758,0.2242,0.5516,0.5469,30.5185,0.0
AmazonOffice,VAECF,C,0.0138,0.0797,0.0099,0.7785,5.5935,0.227,0.7752,0.2248,0.5505,0.6645,48.2557,-21.5
AmazonOffice,VAECF,P,0.0171,0.046,0.0154,0.4979,5.7039,0.2307,0.6635,0.3365,0.327,0.4125,24.1347,24.58
AmazonOffice,VAECF,CP,0.0127,0.0646,0.0096,0.7405,5.7143,0.2351,0.6635,0.3365,0.327,0.5338,42.1611,2.4
